STCD,avg_nom_dim1
AK-1,0.284
AL-1,0.367
AL-2,0.362
AL-3,0.355
AL-4,0.369
AL-5,0.649
AL-6,0.387
AL-7,-0.391
AR-1,0.414
AR-2,0.41
AR-3,0.357
AR-4,-0.201
AZ-1,0.677
AZ-2,0.749
AZ-3,0.712
AZ-4,-0.421
AZ-5,0.589
AZ-6,0.855
AZ-7,-0.599
AZ-8,-0.11650000000000000
CA-1,-0.395
CA-10,-0.309
CA-11,-0.262
CA-12,-0.38
CA-13,-0.631
CA-14,-0.381
CA-15,-0.529
CA-16,-0.402
CA-17,-0.455
CA-18,-0.262
CA-19,0.306
CA-2,0.551
CA-20,-0.191
CA-21,0.449
CA-22,0.458
CA-23,-0.389
CA-24,0.402
CA-25,0.396
CA-26,0.478
CA-27,-0.342
CA-28,-0.404
CA-29,-0.349
CA-3,0.497
CA-30,-0.473
CA-31,-0.512
CA-32,-0.487
CA-33,-0.585
CA-34,-0.47
CA-35,-0.653
CA-36,-0.326
CA-37,-0.339
CA-38,-0.448
CA-39,-0.508
CA-4,0.719
CA-40,0.657
CA-41,0.348
CA-42,0.478
CA-43,-0.349
CA-44,0.349
CA-45,0.353
CA-46,0.626
CA-47,-0.367
CA-48,0.748
CA-49,0.506
CA-5,-0.434
CA-50,0.392
CA-51,-0.652
CA-52,0.539
CA-53,-0.343
CA-6,-0.556
CA-7,-0.552
CA-8,-0.49
CA-9,-0.683
CO-1,-0.432
CO-2,-0.278
CO-3,0.449
CO-4,0.444
CO-5,0.679
CO-6,0.492
CO-7,-0.282
CT-1,-0.397
CT-2,-0.344
CT-3,-0.416
CT-4,-0.242
CT-5,-0.271
DE-1,-0.256
FL-1,0.633
FL-10,0.325
FL-11,-0.438
FL-12,0.531
FL-13,0.358
FL-14,0.601
FL-15,0.518
FL-16,0.458
FL-17,-0.476
FL-18,0.244
FL-19,-0.4
FL-2,0.56
FL-20,-0.421
FL-21,0.279
FL-22,0.451
FL-23,-0.564
FL-24,0.577
FL-25,0.257
FL-3,-0.429
FL-4,0.333
FL-5,0.483
FL-6,0.554
FL-7,0.453
FL-8,0.506
FL-9,0.405
GA-1,0.54
GA-10,0.913
GA-11,0.561
GA-12,-0.119
GA-13,-0.301
GA-2,-0.282
GA-3,0.672
GA-4,-0.469
GA-5,-0.589
GA-6,0.644
GA-7,0.596
GA-8,0.569
GA-9,0.716
HI-1,-0.37
HI-2,-0.512
IA-1,-0.31
IA-2,-0.276
IA-3,-0.238
IA-4,0.302
IA-5,0.613
ID-1,0.735
ID-2,0.297
IL-1,-0.478
IL-10,0.2
IL-11,0.276
IL-12,-0.317
IL-13,0.323
IL-14,0.49
IL-15,0.264
IL-16,0.51
IL-17,0.364
IL-18,0.311
IL-19,0.375
IL-2,-0.538
IL-3,-0.228
IL-4,-0.487
IL-5,-0.321
IL-6,0.429
IL-7,-0.486
IL-8,0.708
IL-9,-0.606
IN-1,-0.402
IN-2,-0.119
IN-3,0.742
IN-4,0.602
IN-5,0.585
IN-6,0.655
IN-7,-0.431
IN-8,0.405
IN-9,0.474
KS-1,0.744
KS-2,0.523
KS-3,0.558
KS-4,0.66
KY-1,0.303
KY-2,0.419
KY-3,-0.379
KY-4,0.5395000000000000
KY-5,0.337
KY-6,-0.232
LA-1,0.563
LA-2,-0.486
LA-3,0.614
LA-4,0.59
LA-5,0.331
LA-6,0.456
LA-7,0.392
MA-1,-0.577
MA-10,-0.329
MA-2,-0.417
MA-3,-0.539
MA-4,-0.499
MA-5,-0.396
MA-6,-0.488
MA-7,-0.512
MA-8,-0.58
MA-9,-0.35
MD-1,0.655
MD-2,-0.295
MD-3,-0.468
MD-4,-0.562
MD-5,-0.38
MD-6,0.493
MD-7,-0.438
MD-8,-0.391
ME-1,-0.421
ME-2,-0.283
MI-1,0.491
MI-10,0.343
MI-11,-0.03700000000000000
MI-12,-0.379
MI-13,-0.478
MI-14,-0.658
MI-15,-0.448
MI-2,0.581
MI-3,0.654
MI-4,0.385
MI-5,-0.385
MI-6,0.334
MI-7,0.517
MI-8,0.4
MI-9,-0.245
MN-1,-0.275
MN-2,0.49
MN-3,0.402
MN-4,-0.418
MN-5,-0.537
MN-6,0.584
MN-7,-0.148
MN-8,0.366
MO-1,-0.481
MO-2,0.612
MO-3,-0.347
MO-4,0.464
MO-5,-0.453
MO-6,0.443
MO-7,0.547
MO-8,0.269
MO-9,0.438
MS-1,0.488
MS-2,-0.516
MS-3,0.384
MS-4,0.524
MT-1,0.337
NC-1,-0.404
NC-10,0.552
NC-11,-0.07
NC-12,-0.526
NC-13,-0.376
NC-2,0.406
NC-3,0.244
NC-4,-0.343
NC-5,0.63
NC-6,0.52
NC-7,-0.148
NC-8,-0.182
NC-9,0.56
ND-1,0.328
NE-1,0.301
NE-2,0.426
NE-3,0.517
NH-1,0.433
NH-2,0.331
NJ-1,-0.297
NJ-10,-0.554
NJ-11,0.292
NJ-12,-0.463
NJ-13,-0.405
NJ-2,0.211
NJ-3,0.222
NJ-4,0.164
NJ-5,0.688
NJ-6,-0.404
NJ-7,0.329
NJ-8,-0.367
NJ-9,-0.352
NM-1,-0.326
NM-2,0.472
NM-3,-0.367
NV-1,-0.302
NV-2,0.42300000000000000
NV-3,0.324
NY-1,-0.338
NY-10,-0.519
NY-11,-0.614
NY-12,-0.547
NY-13,0.219
NY-14,-0.387
NY-15,-0.514
NY-16,-0.491
NY-17,-0.408
NY-18,-0.389
NY-19,0.282
NY-2,-0.334
NY-20,0.203
NY-21,-0.42
NY-22,-0.575
NY-23,-0.182
NY-24,0.215
NY-25,0.579
NY-26,0.037000000000000000
NY-27,-0.347
NY-28,-0.465
NY-29,0.278
NY-3,0.259
NY-4,-0.294
NY-5,-0.429
NY-6,-0.413
NY-7,-0.412
NY-8,-0.509
NY-9,-0.06350000000000000
OH-1,0.572
OH-10,-0.582
OH-11,-0.582
OH-12,0.386
OH-13,-0.44
OH-14,0.211
OH-15,0.298
OH-16,0.387
OH-17,-0.403
OH-18,0.472
OH-2,0.467
OH-3,0.271
OH-4,0.718
OH-5,0.518
OH-6,0.431
OH-7,0.367
OH-8,0.513
OH-9,-0.35
OK-1,0.513
OK-2,-0.112
OK-3,0.362
OK-4,0.331
OK-5,0.59
OR-1,-0.382
OR-2,0.334
OR-3,-0.427
OR-4,-0.428
OR-5,-0.188
PA-1,-0.484
PA-10,0.352
PA-11,0.278
PA-12,-0.326
PA-13,-0.343
PA-14,-0.33
PA-15,0.244
PA-16,0.538
PA-17,-0.233
PA-18,0.258
PA-19,0.252
PA-2,-0.472
PA-3,0.35
PA-4,-0.133
PA-5,0.312
PA-6,0.221
PA-7,0.22
PA-8,0.202
PA-9,0.374
RI-1,-0.391
