"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","CD116FP","STCD"
"44433",108,"House",20300,41,1,"AL",200,0,1,"BONNER, Jr., Josiah Robins (Jo)","B001244",1959,NA,0.367,0.513,-88.99993,0.895,805,35,NA,0.413,0.199,1,"AL-1"
"44434",108,"House",20301,41,3,"AL",200,0,1,"ROGERS, Mike Dennis","R000575",1958,NA,0.355,0.459,-86.42597,0.90167,835,29,NA,0.352,0.275,3,"AL-3"
"44435",108,"House",20302,41,7,"AL",100,0,1,"DAVIS, Artur","D000602",1967,NA,-0.27,0.454,-183.92616,0.801,830,89,NA,-0.293,0.315,7,"AL-7"
"44436",108,"House",29100,41,5,"AL",100,0,1,"CRAMER, Robert E. (Bud), Jr.","C000868",1947,NA,-0.132,0.612,-187.7917,0.793,810,85,NA,-0.08,0.595,5,"AL-5"
"44437",108,"House",29300,41,2,"AL",200,0,1,"EVERETT, Robert Terry","E000268",1937,NA,0.414,0.528,-132.28031,0.848,802,61,NA,0.493,0.554,2,"AL-2"
"44438",108,"House",29301,41,6,"AL",200,0,1,"BACHUS, Spencer T., III","B000013",1947,NA,0.387,0.228,-115.19369,0.867,810,49,NA,0.403,0.049,6,"AL-6"
"44439",108,"House",29701,41,4,"AL",200,0,1,"ADERHOLT, Robert","A000055",1965,NA,0.369,0.59,-142.79036,0.84001,819,62,NA,0.377,0.327,4,"AL-4"
"44440",108,"House",14066,81,1,"AK",200,0,1,"YOUNG, Donald Edwin","Y000033",1933,NA,0.284,0.022,-98.63369,0.87131,716,32,NA,0.353,0.142,1,"AK-1"
"44441",108,"House",15105,61,8,"AZ",200,0,1,"KOLBE, James Thomas","K000306",1942,NA,0.351,-0.534,-186.28189,0.8,835,80,NA,0.35,-0.66,8,"AZ-8"
"44442",108,"House",20100,61,6,"AZ",200,0,1,"FLAKE, Jeff","F000444",1962,NA,0.855,-0.518,-213.40079,0.77424,834,83,NA,0.936,-0.351,6,"AZ-6"
"44443",108,"House",20303,61,1,"AZ",200,0,1,"RENZI, Rick","R000574",1958,NA,0.265,0.199,-147.75444,0.839,841,60,NA,0.292,0.245,1,"AZ-1"
"44444",108,"House",20304,61,2,"AZ",200,0,1,"FRANKS, Trent","F000448",1957,NA,0.749,0.087,-102.74523,0.88461,838,40,NA,0.908,-0.418,2,"AZ-2"
"44445",108,"House",20305,61,7,"AZ",100,0,1,"GRIJALVA, Raúl M.","G000551",1948,NA,-0.599,-0.256,-88.3942,0.89955,835,33,NA,-0.595,-0.214,7,"AZ-7"
"44446",108,"House",29101,61,4,"AZ",100,0,1,"PASTOR, Ed","P000099",1943,NA,-0.421,0.12,-161.85141,0.818,808,77,NA,-0.445,0.09,4,"AZ-4"
"44447",108,"House",29501,61,3,"AZ",200,0,1,"SHADEGG, John B.","S000275",1949,NA,0.749,0.008,-103.83425,0.883,836,41,NA,0.774,-0.136,3,"AZ-3"
"44448",108,"House",29502,61,5,"AZ",200,0,1,"HAYWORTH, John D., Jr.","H000413",1958,NA,0.559,-0.018,-131.35246,0.851,815,61,NA,0.519,0.054,5,"AZ-5"
"44449",108,"House",20101,42,3,"AR",200,0,1,"BOOZMAN, John","B001236",1950,NA,0.4,0.246,-85.7873,0.90302,841,38,NA,0.393,0.172,3,"AR-3"
"44450",108,"House",20102,42,4,"AR",100,0,1,"ROSS, Michael Avery","R000573",1961,NA,-0.201,0.89,-160.55485,0.826,841,56,NA,-0.265,0.694,4,"AR-4"
"44451",108,"House",29702,42,1,"AR",100,0,1,"BERRY, Robert Marion","B000420",1942,NA,-0.293,0.956,-212.81114,0.773,825,90,NA,-0.321,0.947,1,"AR-1"
"44452",108,"House",29703,42,2,"AR",100,0,1,"SNYDER, Victor F.","S000672",1947,NA,-0.268,0.055,-175.53359,0.808,821,81,NA,-0.244,-0.003,2,"AR-2"
"44453",108,"House",14053,71,13,"CA",100,0,1,"STARK, Fortney Hillman (Pete), Jr.","S000810",1931,NA,-0.631,-0.605,-94.12985,0.888,793,39,NA,-0.691,-0.653,13,"CA-13"
"44454",108,"House",14256,71,7,"CA",100,0,1,"MILLER, George","M000725",1945,NA,-0.552,-0.398,-115.65551,0.864,794,51,NA,-0.607,-0.088,7,"CA-7"
"44455",108,"House",14280,71,30,"CA",100,0,1,"WAXMAN, Henry Arnold","W000215",1939,NA,-0.473,-0.343,-96.0244,0.88,754,40,NA,-0.485,-0.498,30,"CA-30"
"44456",108,"House",14644,71,41,"CA",200,0,1,"LEWIS, Charles Jeremy (Jerry)","L000274",1934,NA,0.348,-0.101,-95.34163,0.89,820,30,NA,0.341,-0.059,41,"CA-41"
"44457",108,"House",14649,71,5,"CA",100,0,1,"MATSUI, Robert T.","M000249",1941,2005,-0.404,-0.03,-113.41169,0.866,787,43,NA,-0.391,-0.29,5,"CA-5"
"44458",108,"House",14669,71,22,"CA",200,0,1,"THOMAS, William Marshall","T000188",1941,NA,0.371,-0.277,-112.55763,0.872,821,40,NA,0.377,-0.3,22,"CA-22"
"44459",108,"House",14813,71,26,"CA",200,0,1,"DREIER, David Timothy","D000492",1952,NA,0.478,-0.084,-133.54968,0.849,816,61,NA,0.381,-0.283,26,"CA-26"
"44460",108,"House",14835,71,52,"CA",200,0,1,"HUNTER, Duncan Lee","H000981",1948,NA,0.47,0.02,-118.47477,0.859,780,53,NA,0.428,0.247,52,"CA-52"
"44461",108,"House",14837,71,12,"CA",100,0,1,"LANTOS, Thomas Peter","L000090",1928,2008,-0.376,-0.033,-111.57254,0.87,799,43,NA,-0.394,-0.09,12,"CA-12"
"44462",108,"House",15005,71,28,"CA",100,0,1,"BERMAN, Howard Lawrence","B000410",1941,NA,-0.404,-0.286,-113.10875,0.86,748,47,NA,-0.388,-0.45,28,"CA-28"
"44463",108,"House",15413,71,24,"CA",200,0,1,"GALLEGLY, Elton W.","G000021",1944,NA,0.402,-0.1,-90.71859,0.892,791,40,NA,0.372,-0.043,24,"CA-24"
"44464",108,"House",15420,71,2,"CA",200,0,1,"HERGER, Walter William (Wally)","H000528",1945,NA,0.551,0.117,-85.30784,0.901,815,25,NA,0.577,0.034,2,"CA-2"
"44465",108,"House",15448,71,8,"CA",100,0,1,"PELOSI, Nancy","P000197",1940,NA,-0.49,-0.206,-94.58875,0.89055,816,42,NA,-0.477,-0.154,8,"CA-8"
"44466",108,"House",15601,71,48,"CA",200,0,1,"COX, Charles Christopher","C000830",1952,NA,0.54,-0.236,-99.46958,0.882,790,35,NA,0.569,-0.24,48,"CA-48"
"44467",108,"House",15621,71,46,"CA",200,0,1,"ROHRABACHER, Dana","R000409",1947,NA,0.626,-0.417,-215.77832,0.77083,829,91,NA,0.707,-0.44,46,"CA-46"
"44468",108,"House",20103,71,15,"CA",100,0,1,"HONDA, Mike","H001034",1941,NA,-0.529,-0.482,-118.02619,0.863,804,55,NA,-0.507,-0.533,15,"CA-15"
"44469",108,"House",20104,71,29,"CA",100,0,1,"SCHIFF, Adam","S001150",1960,NA,-0.349,-0.129,-112.89382,0.87354,835,45,NA,-0.343,-0.213,29,"CA-29"
"44470",108,"House",20105,71,32,"CA",100,0,1,"SOLIS, Hilda L.","S001153",1957,NA,-0.508,-0.312,-84.54491,0.902,824,29,NA,-0.518,-0.337,32,"CA-32"
"44471",108,"House",20106,71,33,"CA",100,0,1,"WATSON, Diane Edith","W000794",1933,NA,-0.531,-0.351,-104.34486,0.879,807,37,NA,-0.532,-0.525,33,"CA-33"
"44472",108,"House",20107,71,49,"CA",200,0,1,"ISSA, Darrell","I000056",1953,NA,0.506,-0.085,-106.87673,0.87696,814,49,NA,0.37,-0.013,49,"CA-49"
"44473",108,"House",20108,71,53,"CA",100,0,1,"DAVIS, Susan A.","D000598",1944,NA,-0.343,-0.103,-122.45004,0.86435,840,48,NA,-0.318,-0.282,53,"CA-53"
"44474",108,"House",20306,71,18,"CA",100,0,1,"CARDOZA, Dennis A.","C001050",1959,NA,-0.262,0.609,-193.98551,0.791,826,90,NA,-0.229,0.379,18,"CA-18"
"44475",108,"House",20307,71,21,"CA",200,0,1,"NUNES, Devin","N000181",1973,NA,0.449,0.215,-93.32884,0.8934,828,41,NA,0.389,-0.04,21,"CA-21"
