"","congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","STUSPS"
"48163",114,"Senate",49700,41,0,"AL",200,0,1,"SESSIONS, Jefferson Beauregard III (Jeff)","S001141",1946,NA,0.549,0.13,-109.63029,0.76537,410,46,NA,0.635,0.2,"AL"
"48164",114,"Senate",94659,41,0,"AL",200,0,1,"SHELBY, Richard C.","S000320",1934,NA,0.429,0.519,-103.72897,0.77307,403,44,NA,0.587,0.561,"AL"
"48165",114,"Senate",40300,81,0,"AK",200,0,1,"MURKOWSKI, Lisa","M001153",1957,NA,0.211,-0.291,-133.52413,0.72375,413,65,NA,0.299,-0.253,"AK"
"48166",114,"Senate",41500,81,0,"AK",200,0,1,"SULLIVAN, Daniel Scott","S001198",1964,NA,0.486,0.049,-101.67174,0.78132,412,35,NA,0.46,0.144,"AK"
"48167",114,"Senate",15039,61,0,"AZ",200,0,1,"McCAIN, John Sidney, III","M000303",1936,2018,0.381,-0.626,-118.10444,0.74972,410,59,NA,0.464,-0.312,"AZ"
"48168",114,"Senate",20100,61,0,"AZ",200,0,1,"FLAKE, Jeff","F000444",1962,NA,0.855,-0.518,-151.07924,0.6899,407,70,NA,0.686,-0.728,"AZ"
"48169",114,"Senate",20101,42,0,"AR",200,0,1,"BOOZMAN, John","B001236",1950,NA,0.4,0.246,-70.4184,0.84496,418,21,NA,0.469,0.309,"AR"
"48170",114,"Senate",21301,42,0,"AR",200,0,1,"COTTON, Tom","C001095",1977,NA,0.572,0.083,-65.68265,0.85197,410,28,NA,0.611,0.091,"AR"
"48171",114,"Senate",15011,71,0,"CA",100,0,1,"BOXER, Barbara","B000711",1940,NA,-0.45,-0.423,-46.4471,0.881,368,22,NA,-0.485,-0.466,"CA"
"48172",114,"Senate",49300,71,0,"CA",100,0,1,"FEINSTEIN, Dianne","F000062",1933,NA,-0.267,-0.185,-55.6691,0.87216,407,30,NA,-0.244,-0.171,"CA"
"48173",114,"Senate",21112,62,0,"CO",200,0,1,"GARDNER, Cory","G000562",1974,NA,0.444,-0.027,-109.04758,0.76843,414,45,NA,0.405,-0.059,"CO"
"48174",114,"Senate",40910,62,0,"CO",100,0,1,"BENNET, Michael F.","B001267",1964,NA,-0.224,-0.175,-76.96657,0.83256,420,35,NA,-0.175,-0.137,"CO"
"48175",114,"Senate",20707,1,0,"CT",100,0,1,"MURPHY, Christopher","M001169",1973,NA,-0.271,-0.196,-49.90115,0.88747,418,14,NA,-0.376,-0.15,"CT"
"48176",114,"Senate",41101,1,0,"CT",100,0,1,"BLUMENTHAL, Richard","B001277",1946,NA,-0.434,-0.163,-48.39795,0.89067,418,17,NA,-0.337,-0.162,"CT"
"48177",114,"Senate",15015,11,0,"DE",100,0,1,"CARPER, Thomas Richard","C000174",1947,NA,-0.175,-0.223,-90.74299,0.80102,409,37,NA,-0.187,-0.192,"DE"
"48178",114,"Senate",40916,11,0,"DE",100,0,1,"COONS, Christopher A.","C001088",1963,NA,-0.227,-0.217,-49.71466,0.88394,403,22,NA,-0.293,-0.442,"DE"
"48179",114,"Senate",14651,43,0,"FL",100,0,1,"NELSON, Clarence William (Bill)","N000032",1942,NA,-0.193,0.337,-95.8616,0.78403,394,40,NA,-0.299,0.102,"FL"
"48180",114,"Senate",41102,43,0,"FL",200,0,1,"RUBIO, Marco","R000595",1971,NA,0.568,-0.271,-86.21345,0.74878,298,32,NA,0.617,-0.209,"FL"
"48181",114,"Senate",29909,44,0,"GA",200,0,1,"ISAKSON, Johnny","I000055",1944,NA,0.402,-0.011,-75.40421,0.83494,418,27,NA,0.416,0.071,"GA"
"48182",114,"Senate",41501,44,0,"GA",200,0,1,"PERDUE, David Alfred, Jr.","P000612",1949,NA,0.564,-0.087,-102.5101,0.78113,415,44,NA,0.68,-0.379,"GA"
"48183",114,"Senate",20713,82,0,"HI",100,0,1,"HIRONO, Mazie","H001042",1947,NA,-0.512,-0.084,-37.09327,0.91528,419,11,NA,-0.453,-0.308,"HI"
"48184",114,"Senate",41112,82,0,"HI",100,0,1,"SCHATZ, Brian Emanuel","S001194",1972,NA,-0.448,-0.106,-43.49233,0.90096,417,18,NA,-0.424,-0.098,"HI"
"48185",114,"Senate",29345,63,0,"ID",200,0,1,"CRAPO, Michael Dean","C000880",1951,NA,0.511,0.294,-76.51555,0.83051,412,37,NA,0.57,0.715,"ID"
"48186",114,"Senate",40902,63,0,"ID",200,0,1,"RISCH, James","R000584",1943,NA,0.629,0.565,-62.04679,0.86236,419,31,NA,0.589,0.709,"ID"
"48187",114,"Senate",15021,21,0,"IL",100,0,1,"DURBIN, Richard Joseph","D000563",1944,NA,-0.348,-0.307,-39.3908,0.90861,411,17,NA,-0.416,-0.306,"IL"
"48188",114,"Senate",20115,21,0,"IL",200,0,1,"KIRK, Mark Steven","K000360",1959,NA,0.274,-0.647,-139.86855,0.706,402,65,NA,0.268,-0.606,"IL"
"48189",114,"Senate",14806,22,0,"IN",200,0,1,"COATS, Daniel Ray","C000542",1943,NA,0.375,-0.227,-111.40278,0.763,411,44,NA,0.537,-0.275,"IN"
"48190",114,"Senate",20717,22,0,"IN",100,0,1,"DONNELLY, Joe","D000607",1955,NA,-0.119,0.435,-114.03275,0.76024,416,46,NA,-0.11,0.41,"IN"
"48191",114,"Senate",14226,31,0,"IA",200,0,1,"GRASSLEY, Charles Ernest","G000386",1933,NA,0.346,-0.065,-111.4523,0.76693,420,47,NA,0.461,0.058,"IA"
"48192",114,"Senate",41502,31,0,"IA",200,0,1,"ERNST, Joni","E000295",1970,NA,0.529,-0.047,-64.48537,0.85767,420,24,NA,0.505,0.042,"IA"
"48193",114,"Senate",14852,32,0,"KS",200,0,1,"ROBERTS, Charles Patrick (Pat)","R000307",1936,NA,0.413,-0.09,-69.99722,0.84445,414,30,NA,0.434,0.253,"KS"
"48194",114,"Senate",29722,32,0,"KS",200,0,1,"MORAN, Jerry","M000934",1954,NA,0.415,0.206,-108.20632,0.76754,409,53,NA,0.452,0.548,"KS"
"48195",114,"Senate",14921,51,0,"KY",200,0,1,"McCONNELL, Addison Mitchell (Mitch)","M000355",1942,NA,0.402,0.003,-155.59348,0.69042,420,60,NA,0.355,0.001,"KY"
"48196",114,"Senate",41104,51,0,"KY",200,0,1,"PAUL, Rand","P000603",1963,NA,0.878,-0.479,-220.02793,0.5777,401,98,NA,0.83,-0.558,"KY"
"48197",114,"Senate",20919,45,0,"LA",200,0,1,"CASSIDY, Bill","C001075",1957,NA,0.456,-0.099,-81.12362,0.82283,416,36,NA,0.434,0.125,"LA"
"48198",114,"Senate",29918,45,0,"LA",200,0,1,"VITTER, David","V000127",1961,NA,0.495,0.323,-65.55047,0.838,370,32,NA,0.479,0.494,"LA"
"48199",114,"Senate",41300,2,0,"ME",328,0,1,"KING, Angus Stanley, Jr.","K000383",1944,NA,-0.155,-0.21,-99.87779,0.78519,413,57,NA,-0.164,-0.221,"ME"
"48200",114,"Senate",49703,2,0,"ME",200,0,1,"COLLINS, Susan Margaret","C001035",1952,NA,0.113,-0.539,-152.3574,0.69576,420,84,NA,0.157,-0.374,"ME"
